species,group_ids,gene_identifiers
ath,NLS|STT|RTH|TCM,At1g03060|SPI|Spirrig
ath,PIG|FLT,At1g03160|FZL|FZO-Like
ath,NHM|PIG|GRS|LIT,At1g03190|UVH6|AtXPD|Ultraviolet Hypersensitive
ath,PRA,At1g03310|AtISA2|DBE1|Isoamylase
ath,EMB,At1g03360|RRP4|Ribosomal RNA Processing
ath,LIT,At1g03790|SOM|Somnus
ath,SEN,At1g04010|PSAT1|Phospholipid Sterol Acyl Transferase
ath,GRS|MSL|TCM,At1g04020|BARD1|BRCA1-Associated Ring Domain
ath,STT,"At1g04110|SDD1|Stomatal Density, Distribution"
ath,ROT,At1g04120|MRP5|ABCC5|Multidrug Resistance-Associated Protein
ath,ROT,At1g04220|KCS2|DAISY|3-Ketoacyl-CoA Synthase
ath,ROT,At1g04240|SHY2|IAA3|Short Hypocotyl
ath,ROT,At1g04250|AXR3|IAA17|Auxin Resistant
ath,FLT,At1g04400|FHA|CRY2|Late Flowering
ath,EMB,At1g04635|EMB1687|Embryo Defective
ath,NLS|LEF|ARC|CHS,At1g04820|TOR2|TUA4|Tortifolia
ath,FLT,At1g04870|AtPRMT10|Protein Arginine Methyltransferase
ath,SRL|PIG,At1g04940|TIC20|Translocon Inner Envelope Membrane of Chloroplasts
ath,GEM,At1g04950|EMB2781|TAF6|TAFII59|Embryo Defective
ath,GRS|ROT|ARC|SRF|RTH|HRM,At1g05180|AXR1|Auxin Resistant
ath,EMB,At1g05190|EMB2394|Embryo Defective
ath,PIG|GRS,At1g05385|LPA19|Low Photosystem II Accumulation
ath,TCM,At1g05470|CVP2|At5PT11|Cotyledon Vascular Pattern
ath,EMB,At1g05600|EMB3101|Embryo Defective
ath,TCM,At1g05630|At5PT13|Inositol Polyphosphate 5' Phosphatase
ath,SRL|PIG,At1g05750|PDE247|CLB19|Pigment Defective Embryo
ath,PTH,At1g05760|RTM1|Restricted TEV Movement
ath,GRS|ROT|RTH|TCM|LIT,At1g05850|ELP|CTL1|HOT2|ERH2|Ectopic Lignin in Pith
ath,RTH,At1g05990|RHS1|Root Hair Specific
ath,NLS,At1g06040|STO|Salt Tolerance
ath,EMB,At1g06150|EMB1444|Embryo Defective
ath,PTH,At1g06160|ORA59|Octadecanoid-Responsive AP2/ERF
ath,EMG,At1g06220|GFA1|CLO|MEE5|Gametophyte Factor
ath,GER|GRS|ROT|LEF|IST|FSM,At1g06230|GTE4|Global Transcription Factor
ath,HRM,At1g06290|ACX3|IBR4|Acyl-CoA Oxidase
ath,HRM|CHS,At1g06400|ARA2|AtRAB11E|AtRABA1A
ath,ROT|IST|SRF,At1g06490|CALS7|GSL7|Callose Synthase
ath,SRF,At1g06520|GPAT1|Glycerol-3-Phosphate Acyltransferase
ath,SRL|PIG,At1g06570|PDS1|HPD|Phytoene Desaturase
ath,PRA,At1g06780|GAUT6|Galacturonosyltransferase
ath,EMB|PIG|MSL,At1g06950|TIC110|Translocon at Inner Envelope Membrane of Chloroplasts
ath,LEF|IST|ARC|SRF,At1g07130|STN1|Arabidopsis Ortholog of Yeast STN1
ath,EMB,At1g07320|EMB2784|Embryo Defective
ath,ROT|LEF|SRF|FLT,At1g07360|MAC5A|MOS4-Associated Complex Subunit
ath,HRM|CHS,At1g07530|SCL14|GRAS2|Scarecrow-Like
ath,LEF,At1g07630|PLL5|POL-Like
ath,GRS|FLT|WAT|TMP,At1g07890|APX1|Ascorbate Peroxidase
ath,MPH,At1g07930|eEF1A2|Eukaryotic Elongation Factor
ath,NLS|PIG|ROT|LEF|IST|SEN|TCM,At1g08030|TPST|Tyrosylprotein Sulfotransferase
ath,CPR,At1g08060|MOM|Maintenance of Methylation
ath,CPR,At1g08090|NRT2|LIN1|Nitrate Transport Defective
ath,EMB|GRS|ROT|LEF,At1g08130|LIG1|DNA Ligase
ath,NHM,At1g08190|AtVPS41|ZIP2
ath,EMB|GRS|LEF|FSM|FLT,At1g08260|EMB2284|TIL1|EMB529|AtPOL2a|ABO4|ESD7|Embryo Defective
ath,SRL,At1g08370|DCP1|Decapping
ath,MCH,At1g08430|ALMT1|Aluminum-Activated Malate Transporter
ath,PTH,At1g08450|CRT3|EBS2|PSL1|Calreticulin
ath,EMB,At1g08510|FATB|Fatty Acyl-ACP Thioesterase B
ath,SRL|PIG,At1g08520|PDE166|CHLD|Pigment Defective Embryo
ath,PIG,At1g08540|ABC1|SIG2|Aberrant Chloroplasts
ath,CPR,At1g08550|NPQ1|AVDE1|Nonphotochemical Quenching Defective
ath,EMB|SRL,At1g08560|KN|SYP111|Knolle
ath,PRA,At1g08630|THA1|Threonine Aldolase
ath,GAM,At1g08660|MGP2|Male Gametophyte Defective
ath,PTH,At1g08720|EDR1|Enhanced Disease Resistance
ath,STT|WAT,At1g08810|MYB60|MYB Domain Protein
ath,EMB,At1g08840|EMB2411|DNA2|Embryo Defective
ath,GER,At1g09090|AtrbohB|Respiratory Burst Oxidase Homolog
ath,NUT,At1g09100|RPT5B
ath,NLS|CHS,At1g09210|CRT1b|Calreticulin
ath,OBI,At1g09270|IMPA-4|Importin Alpha Isoform
ath,NLS|LIT,At1g09530|PIF3|PAP3|POC1|Phytochrome Interacting Factor
ath,SSC,At1g09540|MYB61|MYB Gene Knockout
ath,LIT,At1g09570|FHY2|PHYA|HY8|Long Hypocotyl in Far-Red Light
ath,NLS|GRS|ROT|LEF|ARC|FSM|SRF|FLT|HRM,At1g09700|HYL1|DRB1|Hyponastic Leaves
ath,EMB,At1g09770|AtCDC5|Cell Division Cycle
ath,PRA,At1g09940|HEMA2
ath,GER|CHS,At1g09970|RLK7|Receptor-Like Kinase
ath,NUT,At1g10130|ECA3|ER-Type Calcium Transporting ATPase
ath,PTH,At1g10170|AtNFXL1|NF-X-Like
ath,EMB,At1g10270|GRP23|Glutamine Rich Protein
ath,PRA,At1g10310
ath,LIT|HRM,At1g10370|AtGSTU17|ERD9|Glutathione S-Transferase
ath,LIT,At1g10470|ARR4|MEE7|Response Regulator
ath,EMB,At1g10510|EMB2004|Embryo Defective
ath,PRA,At1g10760|SEX1|GWD1|SOP1|Starch Excess
ath,SRL|NLS|ROT|LEF|IST|ARC|FSM|RTH,At1g10840|eIF3h|TIF3H1|Eukaryotic Initiation Factor
ath,EMB,At1g10910|EMB3103|Embryo Defective
ath,CHS|PTH,At1g10920|LOV1|Locus Orchestrating Victorin Effects
ath,CPR|CHS,At1g10930|RECQ4A
ath,MEC,At1g11000|MLO4|Mildew Resistance Locus O
ath,IST|OVP,At1g11130|SUB|Strubbelig
ath,PTH,At1g11310|MLO2|PMR2|Mildew Resistance Locus
ath,PTH,At1g11350|CBRLK1|Calmodulin-Binding Receptor-Like Kinase
ath,EMB,At1g11680|EMB1738|CYP51|Embryo Defective
ath,PRA,At1g11720|AtSS3|Starch Synthase
ath,NHM|GRS|MSL,At1g11755|LEW1|Leaf Wilting
ath,EMG,At1g11870|OVA7|Ovule Abortion
ath,GAM,At1g11890|SEC22|Secretion
ath,RTH,"At1g12040|LRX1|Leucine-Rich Repeat, Extensin Protein"
ath,CPR|CHS,At1g12110|CHL1|NRT1|Chlorate Resistant
ath,PTH,At1g12220|RPS5|Resistant to P. syringae
ath,ROT,At1g12240|VAC-INV|Vacuolar Invertase
ath,EMB,At1g12260|EMB2749|Embryo Defective
ath,EMB|SRL,At1g12360|KEU|Keule
ath,LIT,At1g12370|UVR2|PHR1|UV Repair Defective
ath,EMB|PIG|GRS|FLT,At1g12410|CLPR2|Clp Protease
ath,CHS,At1g12480|OZS1|Ozone Sensitive
ath,PRA,At1g12550|HPR3|Hydroxypyruvate Reductase
ath,EMB,At1g12770|EMB1586|ISE1|Embryo Defective
ath,LIT|HRM,At1g12840|DET3|VHA-C|De-etiolated
ath,CHS,At1g12920|eRF1-2|Eukaryotic Release Factor
ath,RTH,At1g12950|RHS2|Root Hair Specific
ath,NLS|TCM,At1g12980|DRN|ESR1|Dornroschen
ath,CUL,At1g13220|LINC2|Little Nuclei
ath,OBI,At1g13230|PII2|Piriformospora indica Insensitive
ath,NLS|GRS|TCM,At1g13290|DOT5|Defectively Organized Tributaries
ath,SRF,At1g13330|AHP2|Arabidopsis Homolog Pairing
ath,ROT|LEF,At1g13870|DRL1|KTI12|Deformed Roots and Leaves
ath,CHS,At1g13930|ST6-66
ath,EMB|SRL,At1g13980|EMB30|GN|VAN7|Embryo Defective
ath,TCM,At1g14000|VIK|VH1-Interacting Kinase
ath,CPR,At1g14150|PQL1|PsbQ-Like
ath,LIT,At1g14280|PKS2|Phytochrome Kinase Substrate
ath,GAM,At1g14320|SAC52|Suppressor of Acaulis
ath,STT,At1g14350|FLP|MYB124|Four Lips
ath,LEF,At1g14400|UBC1|Ubiquitin Carrier Protein
ath,EMG,At1g14610|TWN2|ValRS|Twin
ath,MCH,At1g14660|AtNHX8|Sodium Hydrogen Exchanger
ath,FSM|SRF,At1g14720|XTH28|Xyloglucan Endotransglucosylase/Hydrolases
ath,SRF,At1g14750|SDS|Solo Dancers
ath,GAM,At1g14830|ADL1C|ADL5|DRP1C|Arabidopsis Dynamin-Like Protein
ath,NUT,At1g14870|PCR2|Plant Cadmium Resistance
ath,CHS,At1g14920|GAI|RGA2|GA-Insensitive
ath,CHS|MCH,At1g15020|QSO2|Quiescin-Sulhydryl Oxidase
ath,HRM,At1g15100|RHA2a|RING-H2 Finger
ath,EMB,At1g15220|AtCCMH|Cytochrome C Maturation
ath,SRL|PIG|CUL,At1g15510|ECB2|Early Chloroplast Biogenesis
ath,WAT|HRM,At1g15520|ABCG40|PDR12|ATP-Binding Cassette
ath,GRS|ROT|LEF|FLT,At1g15550|GA4|GA3ox1|GA Deficient
ath,STT|CUL,At1g15570|CYCA2;3|Cyclin
ath,NLS|ROT|LEF|FSM|SRF|FLT|TCM,At1g15690|AVP1|Arabidopsis V-PPase
ath,GRS,At1g15820|LHCB6|Light Harvesting Complex
ath,PIG|GRS|LEF|IST|TCM|TMP,At1g15950|IRX4|CCR1|Irregular Xylem
ath,MCH,At1g15960|NRAMP6|Natural Resistance Associated Macrophage Protein
ath,CPR,At1g15980|NDH48|NDF1|NAD(P)H Dehydrogenase Subunit
ath,GER|GRS|WAT|HRM|CHS,At1g16060|ADAP|ARIA-Interacting Double AP2 Domain Protein
ath,ROT|NUT,At1g16150|WAKL4|Wall-Associated Kinase-Like
ath,GAM,At1g16280|SWA3|AtRH36|Slow Walker
ath,LEF|ARC|TCM,At1g16410|SPS|BUS1|Supershoot
ath,GER|MSL|TMP|CHS,At1g16540|ABA3|LOS5|SIR3|ABA Deficient
ath,LIT|CHS,At1g16590|REV7
ath,GRS|ROT|LEF|ARC|FSM|FLT|NUT,At1g16610|SR45|Arginine/Serine-Rich
ath,SRL,At1g16720|HCF173|High Chlorophyll Fluorescence
ath,MPH|CHS,At1g16970|KU70|Homolog of Yeast KU70
ath,GRS|ROT|LEF|IST|FSM|SRF|FLT,At1g17110|UBP15|Ubiquitin-Specific Protease
ath,ROT,At1g17140|ICR1|RIP1|Interactor of Constitutive Active ROPS
ath,EMB|NLS|PIG,At1g17220|FUG1|cpIF2|Fu-Gaeri
ath,NUT,At1g17290|AlaAT1|Alanine Aminotransferase
ath,OVP|SRF,At1g17560|HLL|Huellenlos
ath,GAM|EMB,At1g17690|NOF1|Nucleolar Factor
ath,LEF|IST|ARC|TCM,At1g17840|DSO4|ABCG11|WBC11|COF1|Desperado
ath,NHM,At1g17980|PAPS1|Poly(A) Polymerase
ath,NLS|LEF|FLT,At1g18080|RACK1A|Receptor for Activated C Kinase
ath,HRM,At1g18100|MFT|Mother of FT and TFL1
ath,SRL,At1g18370|HIK|NACK1|Hinkel
ath,NLS|GRS|SRF,At1g18450|ARP4|Actin-Related Protein
ath,GRS|LEF|MSL,At1g18500|IPMS1|Isopropylmalate Synthase
ath,PRA,At1g18570|MYB51|BW51A|BW5B|HIG1|MYB Domain Protein
ath,PRA,At1g18580|GAUT11|Galacturonosyltransferase
ath,CPR,At1g18730|NDF6|NDH Dependent Flow
ath,WAT,At1g18890|CPK10|CDPK1|Calcium-Dependent Kinase
ath,EMB,At1g19080|TTN10|PSF3|Titan
ath,HRM|MCH,At1g19220|ARF19|IAA22|ARF11|Auxin Response Factor
ath,PTH,At1g19250|FMO1|Flavin-Dependent Monooxygenase
ath,GRS|LEF|IST|FSM|SSC|SEN,At1g19270|DA1|Da
ath,LEF|IST|MEC,At1g19300|PARVUS|GATL1|GLZ1|Parvus
ath,GAM,At1g19520|NFD5|Nuclear Fusion Defective
ath,CHS,At1g19750|CSAat1B|Cockayne Syndrome A-like Protein
ath,EMB,At1g19800|TGD1|Trigalactosyldiacylglycerol
ath,EMB|SRL,At1g19850|MP|ARF5|Monopteros
ath,LIT,At1g20020|FNR2|LFNR2|Ferredoxin-NADP(+)-Oxidoreductase
ath,EMB|SRL,At1g20050|HYD1|Hydra
ath,STT,At1g20090|ROP2|AtRAC4|Rho-Related Protein
ath,PIG,At1g20110|PDE330|Pigment Defective Embryo
ath,GEM,At1g20200|EMB2719|HAP15|RPN3|Embryo Defective
ath,GRS|LEF|ARC|FSM|SRF|FLT|SEN|TCM,At1g20330|SMT2|CVP1|FRL1|Sterol Methyltransferase
ath,GER|SSC|WAT|TMP,At1g20450|ERD10|LTI29|LTI45|Early Responsive to Dehydration
ath,SEN,At1g20780|SAUL1|PUB44|Senescence-Associated E3 Ubiquitin Ligase
ath,PRA|TMP,At1g20840|TMT1|Tonoplast Monosaccharide Transporter
ath,EMB,At1g20960|EMB1507|Embryo Defective
ath,LEF|FLT,At1g20980|SPL14|FBR6|SPL1R2|Squamosa Promoter Binding Protein-Like
ath,SRL|NLS|GRS|ROT|LEF,At1g21270|WAK2|Wall-Associated Kinase
ath,EMB|SRL,At1g21310|RSH|EXT3|Root-Shoot-Hypocotyl Defective
ath,EMB,At1g21390|EMB2170|Embryo Defective
ath,SRL|PIG,At1g21600|PTAC6|Plastid Transcriptionally Active
ath,EMB,At1g21650|SECA2
ath,EMB,At1g21690|EMB1968|Embryo Defective
ath,GRS|ROT|LEF|ARC|FSM|SRF|FLT,At1g21700|AtSWI3C|CHB4|Switch/Sucrose Nonfermenting 3C
ath,TMP,At1g21760|FBP7|F-Box Protein 7
ath,NUT,At1g21840|UREF|Urease Accessory Protein
ath,EMB,At1g21970|LEC1|EMB212|Leafy Cotyledon
ath,EMB,At1g22090|EMB2204|Embryo Defective
ath,SRF,At1g22260|ZYP1a|
ath,GRS|ROT,At1g22270|SMO2|Small Organ
ath,SRF,At1g22275|ZYP1b|
ath,FLT,At1g22310|MBD8|Methyl-CpG Binding Domain
ath,PTH,At1g22400|UGT85A1|UDP-Glucosyl Transferase
ath,NLS|GRS|ROT|IST|STT|TCM,At1g22620|AtSAC1|FRA7|Suppressor of Actin
ath,SRL|PIG|GRS|LEF,At1g22700|PYG7|Pale Yellow Green
ath,SRL,At1g22710|SUC2|SUT1|Sucrose Transporter
ath,FLT,At1g22770|GI|FB|Gigantea
ath,GRS|ROT|LEF,At1g22780|PFL|RPS18A|Pointed First Leaves
ath,PIG|GRS|LEF|ARC|FSM|STT|LIT|HRM,At1g22920|CSN5A|AJH1|COP9 Signalosome 5A
ath,SRL,At1g22940|TH1|THIE|Thiamine Requiring
ath,NUT,At1g23010|LPR1|Low Phosphate Root
ath,LEF|FLT,At1g23090|SULTR3;3|AST91|Sulfate Transporter
ath,PIG|GRS|TMP,At1g23310|GGT1|ADAT1|Glutamate:Glyoxylate Aminotransferase
ath,EMB|SRL|PIG,At1g23400|AtCAF2|Ortholog of Maize CAF2
ath,OVP,At1g23420|INO|Inner No Outer
ath,ROT|RTH|HRM,At1g24180|IAR4|ETA5|IAA-Alanine Resistant
ath,EMB,At1g24340|EMB2421|Embryo Defective
ath,GAM,At1g24450|NFD2|Nuclear Fusion Defective
ath,GRS|FLT|CUL,At1g24490|ALB4|ARTEMIS|Albina
ath,NLS|ARC|FSM,At1g24590|DRNL|SOB2|ESR2|Dornroschen-Like
ath,EMB,At1g24706|EMB2793|THO2|Embryo Defective
ath,GAM,At1g25350|OVA9|Ovule Abortion
ath,NLS|ROT|LIT,At1g25490|RCN1|EER1|REGA|Altered Responses to NPA
ath,PTH,At1g25540|PFT1|Phytochrome and Flowering Time
ath,SRL|PIG|LEF|FLT|TCM|MEC,At1g26110|DCP5|Decapping
ath,GRS|ROT|LEF|FSM|SRF,At1g26630|FBR12|ELF5A-2|Fumonisin B1-Resistant
ath,NUT,At1g26670|VTI1b|VTI12|Vesicle Transport V-Snare
ath,ARC|MSL,At1g26780|LOF1|MYB117|Lateral Organ Fusion
ath,GRS|ROT|LEF,At1g26910|RPL10B|Ribosomal Protein L10
ath,SRF,At1g27080|NRT1.6|Nitrate Transporter
ath,NUT|HRM,At1g27320|AHK3|Arabidopsis Histidine Kinase
ath,LEF,At1g27360|SPL11|Squamosa Promoter Binding Protein-Like
ath,LEF|STT,At1g27370|SPL10|Squamosa Promoter Binding Protein-Like
ath,FLT,At1g27390|TOM20-2|Translocase of the Outer Mitochondrial Membrane
ath,TCM,At1g27440|IRX10|GUT2|Irregular Xylem
ath,SRF|CHS,At1g27450|APT1|Adenine Phosphoribosyl Transferase
ath,ROT|SRF,At1g27760|SAT32|Salt Tolerance
ath,LIT,At1g27840|CSAat1A|Cockayne Syndrome A-like Protein
ath,PRA,At1g27950|LTPG|Glycosylphosphatidylinositol-Anchored Lipid Protein Transfer
ath,EMB,At1g28300|LEC2|Leafy Cotyledon
ath,CHS,At1g28320|DEG15
ath,GRS|MSL,At1g28380|NSL1|Necrotic Spotted Lesions
ath,MSL|CHS,At1g28490|OSM1|SPY61|Osmotic Sensitive Mutant
ath,ROT|TMP,At1g28560|SRD2|Shoot Redifferentiation Defective
ath,ROT|HRM|CHS,At1g29260|PEX7|Peroxin
ath,GRS|MSL|SRF|SEN,At1g29690|CAD1|Constitutively Activated Cell Death
ath,PIG|LEF,At1g29900|VEN3|CarB|Venosa
ath,GAM,At1g29940|NRPA2|Nuclear RNA Polymerase
ath,LIT|CHS,At1g29990|PFD6|Prefoldin
ath,GRS|CHS,At1g30010|CSS1|nMat1a|Changed Sensitivity to Cellulose Synthesis Inhibitors
ath,WAT,At1g30270|CIPK23|SnRK3.23|LSK1|CBL-Interacting Protein Kinase
ath,IST|FSM|SRF|LIT,At1g30330|ARF6|Auxin Response Factor
ath,CHS,At1g30400|MRP1|ABCC1|EST1|Multidrug Resistance-Associated Protein
ath,ROT|LEF|IST|ARC|SRF,At1g30450|CCC1|HAP5|Cation-Chloride Co-Transporter
ath,SRL,At1g30520|AAE14|Acyl-Activating Enzyme
ath,EMB,At1g30610|EMB2279|Embryo Defective
ath,PRA|NUT,At1g30620|MUR4|HSR8|UXE1|Murus
ath,GRS|STT|LIT,At1g30825|DIS2|ARPC2A|Distorted
ath,FSM,At1g30950|UFO|Unusual Floral Organs
ath,FLT,At1g30970|SUF4|Suppressor of Frigidia4
ath,FSM,At1g31140|GOA|AGL64|Gordita
ath,CHS,At1g31170|SRX|Sulfiredoxin
ath,PRA,At1g31180|IPMDH1|IMD3|Isopropylmalate Dehydrogenase
ath,GEM,At1g31470|NFD4|Nuclear Fusion Defective
ath,NLS|ARC,At1g31480|SGR2|Shoot Gravitropism
ath,PRA,At1g31800|CYP97A3|LUT5|Cytochrome P450-Type Monooxygenase
ath,OVP,At1g31810|AFH14|Formin Homology
ath,GAM,At1g31817|NFD3|Nuclear Fusion Defective
ath,EMG,At1g31860|HISN2|Histidine Auxotroph
ath,ROT|HRM,At1g31880|BRX|NIP3|1|NLM9|Brevis Radix
ath,GRS,At1g32130|IWS1|Interact-With-Spt6
ath,SRL|GRS|SRF,At1g32200|ATS1|ACT1|Acyltransferase
ath,GRS|ROT|LEF|FSM|FLT|LIT|CHS,At1g32230|RCD1|ATP8|CEO1|Radical-Induced Cell Death
ath,CPR,At1g32450|NRT1.5|Nitrate Transporter
ath,EMB|GRS|LEF|FLT,At1g32490|EMB2733|ESP3|PRP2|Embryo Defective
ath,PIG|GRS,At1g32990|PRPL11|Plastid Ribosomal Protein L11
ath,STT,At1g33240|GTL1|GT-2-Like
ath,PTH,"At1g33520|MOS2|Modifier of SNC1,2"
ath,LIT|HRM,At1g34120|IP5PI|At5PTase1|Inositol Polyphosphate 5-Phosphatase I
ath,STT|TCM,At1g34245|EPF2|Epidermal Patterning Factor
ath,CHS|MCH,At1g34370|STOP1|Sensitive to Proton Rhizotoxicity
ath,EMB,At1g34430|EMB3003|Embryo Defective
ath,EMB,At1g34550|EMB2756|Embryo Defective
ath,PIG|SSC,At1g34790|TT1|WIP1|Transparent Testa
ath,PIG|ROT,At1g35580|CINV1|Cytosolic Invertase
ath,WAT|HRM|CHS,At1g35670|AtCDPK2|CPK11|Calcium-Dependent Protein Kinase
ath,WAT,At1g35720|AnnAt1|OXY5|Annexin
ath,EMG,At1g36160|ACC1|PAS3|GK|EMB22|Acetyl CoA Carboxylase
ath,CHS,At1g37130|NIA2|CHL3|NR2|Nitrate Reductase
ath,ROT,At1g42540|GLR3.3|Glutamate Receptor
ath,CUL,At1g42550|PMI1|Plastid Movement Impaired
ath,EMB,At1g43170|EMB2207|RP1|RPL3A|Embryo Defective
ath,PIG|SSC,At1g43620|UGT80B1|TT15|UDP-Glucose:Sterol Glucosyltransferase
ath,NUT|CHS|MCH,At1g43700|SUE3|VIP1|Sulphate Utilization Efficiency
ath,EMG,At1g43710|EMB1075|Embryo Defective
ath,GRS|LEF|ARC|FSM|OVP,At1g43850|SEU|Seuss
ath,PIG,At1g44446|CH1|CAO|Chlorina
ath,CPR,At1g44575|NPQ4|PsbS|Nonphotochemical Quenching
ath,EMB,At1g44900|MCM2|Minichromosome Maintenance
ath,CHS|PTH,At1g45145|ATTRX5|ATH5|LIV1|Thioredoxin h5
ath,MCH,At1g46480|WOX4|Wuschel Related Homeobox
ath,WAT|TMP,At1g46768|RAP2.1|Related to AP2
ath,PIG|GRS|ROT|LEF|FSM|SRF,At1g47720|OSB1|Organellar Single-Stranded DNA Binding Protein
ath,OBI,At1g48050|KU80
ath,EMB,At1g48175|EMB2191|TAD2|Embryo Defective
ath,EMB,At1g48350|EMB3105|Embryo Defective
ath,RTH,At1g48380|RHL1|HPY7|Root Hairless
ath,LEF|ARC,At1g48410|AGO1|ICU9|Argonaute
ath,PRA,At1g48600|PMEAMT|Phosphoethanolamine N-Methyltrasnferase
ath,EMG,At1g48850|EMB1144|Embryo Defective
ath,NLS|GRS|ROT|LEF|ARC|SRF|TCM,At1g48920|PARL1|AtNUC-L1|Parallel
ath,GRS|ROT|LEF|FSM|SRF|STT|RTH|TCM,At1g49040|SCD1|Stomatal Cytokinesis Defective
ath,EMB,At1g49400|EMB1129|Embryo Defective
ath,GRS|LEF,At1g49430|LACS2|SMA4|LRD2|Long-Chain Acyl-CoA Synthetase
ath,EMB,At1g49510|EMB1273|Embryo Defective
ath,HRM,At1g49540|ELP2
ath,TMP,At1g49720|ABF1|ABRE Binding Factor
ath,EMB,At1g49770|RGE1|Retarded Growth of Embryo
ath,NUT,At1g49820|AtMTK|Arabidopsis thaliana S-Methyl-5-Thioribose Kinase
ath,EMB,At1g49880|EMB3106|Embryo Defective
ath,GRS|MSL|CUL,At1g49970|ClpR1|SVR1|NCLPP5
ath,EMB,At1g50030|TOR|Target of Rapamycin
ath,GAM,At1g50240|FU|TIO|Fused
ath,LEF,At1g50320|Trxx|Thioredoxin
ath,GRS,At1g50430|DWF5|LE|PA|Dwarf
ath,LIT,At1g50460|HKL1|Hexokinase Like
ath,EMG|TMP|CHS,At1g50500|HIT1|AtVPS53|Heat-Intolerant
ath,SRL,At1g50900|GDC1|LTD|Grana Deficient Chloroplast
ath,ROT|TCM,At1g51190|PLT2|Plethora
ath,EMB,At1g51450|TRAUCO|Trauco
ath,PIG|IST|CUL,At1g51500|CER5|D3|ABCG12|WBC12|Eceriferum
ath,HRM,At1g51760|IAR3|JR3|IAA-Alanine Resistant
ath,HRM,At1g51965|ABO5|ABA Overly-Sensitive
ath,TCM,At1g52150|ICU4|CNA|ATHB-15|Incurvata
ath,FLT,At1g52230|PSAH2|PSI-H|Photosystem I Subunit H2
ath,LIT,At1g52240|PIRF1|Phytochrome-Interacting RopGEF
ath,GER|MSL|CHS,At1g52340|ABA2|SRE1|GIN1|ISI4|SIS4|ABA Deficient
ath,MEC,At1g52400|BGLU18|BGL1|ATBG1|Beta Glucosidase
ath,NUT|CHS,At1g52760|lysoPL2|Lysophospholipase
ath,STT|MPH,At1g52920|GCR2|G-Protein Coupled Receptor
ath,SSC,At1g53500|MUM4|RHM2|Mucilage Modified
ath,EMB,At1g53580|ETHE1|GLX2|Similar to Human ETHE1
ath,TMP,At1g53670|MSRB1|Methionine Sulfoxide Reductase B
ath,PTH,At1g53850|PAE1|20S Proteasome Alpha Subunit
ath,ROT|PTH,At1g53940|GLIP2|GDSL-Motif Lipase
ath,CUL|CHS|PTH,At1g54030|MVP1|Modified Vacuole Phenotype
ath,PRA,At1g54040|TASTY|ESP|ESR|Tasty
ath,PIG|GRS|LEF|FSM|SSC|FLT,At1g54060|ASIL1|Arabidopsis 6b-Interacting Protein 1-Like
ath,WAT,"At1g54160|NF-YA5|NFYA5|Nuclear Factor Y, Subunit A5"
ath,GRS|PTH,At1g54340|ICDH|Isocitrate Dehydrogenase
ath,HRM,At1g54490|AIN1|EIN5|EIN7|XRN4|ACC Insensitive
ath,NLS,At1g54960|ANP2|MAPKKK2|Arabidopsis NPK1-Related Protein Kinase
ath,ROT|HRM,At1g54990|AXR4|RGR1|Auxin Resistant
ath,ROT,At1g55020|LOX1|Lipoxygenase
